Crop,N,P,K,pH,Rainfall,Temperature,Humidity,Season
Sugarcane,128,49,70,6.21,244.62,26.93,74.16,Zaid
Sugarcane,93,45,67,7.14,243.91,34.78,70.55,Kharif
Maize,99,40,42,6.57,104.95,24.09,52.59,Kharif
Millet,45,28,37,5.81,42.39,24.37,51.24,Kharif
Rice,83,44,73,6.15,224.2,22.62,84.66,Kharif
Wheat,61,33,35,6.05,118.27,23.06,47.66,Rabi
Sugarcane,135,55,58,6.33,204.31,20.39,81.21,Zaid
Wheat,74,41,50,7.43,92.89,22.01,48.14,Rabi
Rice,89,68,77,6.06,283.38,24.68,70.85,Kharif
Maize,99,43,54,6.46,148.33,24.29,63.85,Kharif
Cotton,66,46,28,7.0,118.99,31.75,49.89,Kharif
Cotton,71,39,43,5.97,95.69,27.3,58.43,Kharif
Sugarcane,138,73,70,6.43,234.65,22.43,64.53,Zaid
Cotton,82,49,39,6.77,81.35,33.24,54.64,Kharif
Sugarcane,130,69,41,6.25,184.93,30.88,62.08,Kharif
Maize,79,59,35,6.63,119.99,22.97,55.62,Kharif
Rice,115,62,46,6.75,290.26,22.45,70.28,Kharif
Millet,50,36,46,6.95,87.01,26.97,30.66,Kharif
Millet,57,29,30,5.11,91.02,26.8,33.21,Kharif
Maize,76,63,36,6.57,108.24,28.39,57.16,Kharif
Sugarcane,106,47,48,7.29,196.84,33.53,77.21,Kharif
Millet,34,36,27,5.27,65.91,27.21,30.18,Kharif
Millet,68,40,34,5.33,72.05,23.43,35.37,Kharif
Sugarcane,116,43,52,6.27,219.56,23.45,67.27,Kharif
Cotton,86,54,53,5.68,65.23,32.93,54.61,Kharif
Wheat,63,31,53,6.57,117.07,10.96,55.47,Rabi
Sugarcane,116,67,42,7.11,163.02,30.83,77.69,Zaid
Wheat,100,34,50,6.43,101.39,18.84,40.25,Rabi
Millet,33,37,20,5.1,97.01,28.43,38.0,Kharif
Rice,98,43,46,6.52,168.98,29.15,89.92,Kharif
Cotton,80,36,55,6.8,96.1,28.94,44.62,Kharif
Wheat,72,50,33,6.69,83.51,12.67,57.52,Rabi
Maize,79,36,56,6.12,97.23,18.22,51.88,Kharif
Sugarcane,93,41,73,6.43,237.53,22.77,77.03,Zaid
Cotton,67,27,29,5.77,129.55,32.98,55.69,Kharif
Rice,118,49,43,6.37,290.75,21.29,76.55,Kharif
Maize,97,44,59,6.33,82.72,26.52,67.7,Zaid
Cotton,57,46,26,5.94,81.17,27.03,58.56,Kharif
Maize,97,61,36,6.26,142.33,23.28,57.85,Kharif
Cotton,72,25,33,5.55,82.61,22.28,46.73,Kharif
Wheat,85,48,36,6.92,109.68,14.23,57.7,Rabi
Sugarcane,140,65,48,6.93,245.64,25.57,60.81,Kharif
Rice,84,44,64,5.7,156.73,24.39,87.33,Kharif
Rice,82,52,71,5.68,178.7,22.33,81.78,Kharif
Cotton,77,32,51,7.11,98.95,28.85,58.25,Kharif
Cotton,70,26,48,6.19,107.69,23.17,52.25,Kharif
Cotton,60,51,50,6.16,143.84,33.2,49.45,Kharif
Sugarcane,145,46,80,6.18,160.32,26.51,66.39,Zaid
Rice,95,61,75,6.3,178.2,34.15,78.19,Kharif
Rice,101,54,74,5.97,260.69,31.12,82.14,Kharif
Maize,96,65,46,6.06,114.4,28.49,51.0,Kharif
Millet,38,49,26,5.56,53.14,31.11,44.29,Kharif
Maize,88,61,45,7.0,99.56,25.33,58.4,Zaid
Wheat,70,39,32,6.02,111.59,16.67,58.63,Rabi
Sugarcane,101,74,77,6.1,216.87,25.07,68.78,Zaid
Wheat,64,45,54,6.39,59.6,17.32,54.46,Rabi
Millet,58,24,37,6.96,90.77,25.46,49.38,Kharif
Millet,56,45,29,5.21,43.03,30.3,31.25,Kharif
Maize,107,48,59,6.87,113.29,20.3,64.31,Zaid
Millet,41,21,27,6.79,73.69,26.45,36.62,Kharif
Rice,116,41,46,6.4,180.67,20.88,80.92,Kharif
Sugarcane,120,40,52,7.47,181.91,22.43,62.58,Kharif
Sugarcane,110,41,45,6.56,216.95,22.59,75.15,Zaid
Sugarcane,131,80,59,7.16,188.23,24.27,80.24,Kharif
Cotton,54,52,50,6.87,118.73,26.82,42.0,Kharif
Maize,96,46,55,6.23,116.16,21.31,69.61,Kharif
Wheat,73,42,53,6.8,83.84,20.34,59.03,Rabi
Cotton,89,26,41,6.9,98.81,26.5,59.81,Kharif
Sugarcane,133,61,62,6.67,232.19,33.04,71.77,Zaid
Sugarcane,118,62,65,6.57,198.14,29.44,71.91,Zaid
Millet,51,49,33,5.62,52.48,27.85,33.4,Kharif
Millet,69,28,40,6.39,72.24,20.22,53.84,Kharif
Cotton,82,25,31,6.87,103.57,33.72,40.59,Kharif
Cotton,84,55,32,6.26,65.73,21.92,40.85,Kharif
Rice,110,53,69,5.76,246.97,30.31,75.1,Kharif
Millet,47,33,43,5.93,60.2,27.43,54.45,Kharif
Wheat,73,45,52,7.24,92.0,19.16,50.24,Rabi
Cotton,67,28,55,7.48,127.47,27.03,49.15,Kharif
Wheat,91,50,57,6.74,80.56,14.04,54.01,Rabi
Rice,90,53,63,6.37,224.78,27.02,79.95,Kharif
Millet,64,24,42,5.97,75.65,23.01,34.08,Kharif
Sugarcane,136,71,67,6.68,235.65,30.45,82.47,Kharif
Rice,112,52,43,5.97,199.31,21.37,81.71,Kharif
Rice,96,51,51,5.98,198.08,26.39,76.84,Kharif
Rice,100,54,50,5.96,215.32,20.06,79.84,Kharif
Wheat,61,36,36,7.32,114.89,10.37,59.77,Rabi
Wheat,61,52,55,6.78,72.72,19.34,41.86,Rabi
Millet,44,49,33,6.38,51.21,26.69,46.19,Kharif
Maize,108,65,46,6.0,95.62,24.3,61.93,Kharif
Maize,104,39,37,6.55,98.81,20.63,51.35,Kharif
Millet,46,30,49,5.5,86.28,27.52,30.45,Kharif
Rice,116,43,44,5.6,254.39,26.56,74.99,Kharif
Maize,92,37,65,6.92,115.88,27.67,59.97,Kharif
Cotton,74,25,45,6.43,120.52,24.66,46.5,Kharif
Millet,33,32,26,6.65,56.27,26.53,54.28,Kharif
Sugarcane,103,58,47,6.77,170.42,22.39,82.21,Kharif
Maize,87,47,35,6.74,102.53,20.61,61.78,Kharif
Millet,48,48,25,6.52,74.99,20.65,32.11,Kharif
Maize,88,64,51,6.2,137.9,25.23,61.76,Zaid
Cotton,60,34,52,5.92,149.51,31.83,54.53,Kharif
Wheat,60,34,40,6.98,93.42,20.57,41.65,Rabi
Rice,85,50,56,5.77,150.96,30.66,79.71,Kharif
Sugarcane,100,80,42,6.24,185.22,33.87,66.18,Zaid
Rice,97,70,57,6.61,173.26,20.23,83.8,Kharif
Sugarcane,103,64,78,6.41,201.72,33.76,67.91,Zaid
Rice,82,50,46,5.58,163.15,26.48,76.42,Kharif
Sugarcane,101,58,71,7.18,188.98,21.54,77.74,Kharif
Maize,82,36,38,6.06,167.15,28.83,56.78,Kharif
Rice,105,50,62,6.7,210.74,28.87,87.71,Kharif
Sugarcane,150,66,44,7.13,151.04,31.06,79.94,Kharif
Cotton,66,54,38,6.55,111.54,24.95,59.83,Kharif
Maize,81,50,37,5.93,117.85,26.31,54.63,Kharif
Cotton,51,40,31,7.41,114.35,29.48,42.56,Kharif
Rice,91,64,50,6.15,228.31,22.91,83.79,Kharif
Millet,49,40,29,5.17,84.29,23.28,45.6,Kharif
Cotton,77,42,27,6.6,138.21,31.69,57.37,Kharif
Wheat,63,41,46,7.33,82.73,22.75,46.54,Rabi
Sugarcane,98,53,75,7.42,175.2,25.14,77.1,Kharif
Cotton,66,43,51,6.49,141.09,33.28,40.94,Kharif
Maize,81,49,40,7.0,154.49,28.06,54.26,Kharif
Millet,54,46,42,6.92,46.99,28.51,35.76,Kharif
Wheat,93,48,43,6.1,64.15,21.91,57.92,Rabi
Maize,75,36,35,6.09,112.77,21.84,56.53,Zaid
Maize,101,64,56,5.98,82.21,20.63,52.15,Kharif
Millet,53,25,21,6.13,47.51,29.07,47.8,Kharif
Millet,48,35,49,6.01,43.65,23.34,54.99,Kharif
Millet,62,34,37,5.6,55.64,30.69,37.62,Kharif
Sugarcane,96,43,51,6.86,175.31,31.16,84.15,Kharif
Maize,78,39,54,6.73,99.49,26.52,51.5,Kharif
Cotton,67,38,48,6.18,124.19,29.0,42.15,Kharif
Maize,80,36,64,6.36,149.09,27.59,59.87,Kharif
Millet,37,23,48,6.34,57.16,27.2,54.13,Kharif
Millet,44,34,27,5.4,40.94,23.48,39.24,Kharif
Cotton,61,34,26,6.96,96.86,29.84,51.54,Kharif
Wheat,60,48,54,7.3,51.56,21.73,52.72,Rabi
Cotton,75,33,30,6.86,139.6,31.74,51.51,Kharif
Millet,47,26,46,5.6,47.11,28.78,54.46,Kharif
Cotton,64,48,27,7.05,145.38,27.99,48.19,Kharif
Wheat,83,51,34,6.91,63.0,20.43,41.41,Rabi
Cotton,78,43,55,5.88,90.02,27.83,58.11,Kharif
Millet,33,40,24,6.55,59.3,29.66,34.35,Kharif
Millet,41,22,39,5.17,78.09,22.6,32.9,Kharif
Maize,103,47,59,6.09,118.68,29.68,67.24,Zaid
Maize,80,56,55,6.63,151.27,28.94,67.7,Kharif
Maize,102,55,62,6.47,119.63,23.57,54.17,Zaid
Millet,58,20,50,5.3,63.06,21.57,51.77,Kharif
Millet,37,50,27,5.37,95.89,28.03,52.8,Kharif
Cotton,62,26,50,6.12,107.84,23.01,56.5,Kharif
Sugarcane,112,46,56,6.04,182.56,23.38,70.33,Zaid
Millet,62,46,46,6.81,71.72,26.36,52.53,Kharif
Maize,94,51,49,6.61,139.8,20.31,54.41,Zaid
Wheat,98,48,36,6.62,104.48,14.23,43.64,Rabi
Millet,49,46,40,5.48,91.74,27.46,50.43,Kharif
Cotton,73,36,41,5.64,108.2,34.86,54.76,Kharif
Rice,102,49,69,5.87,152.15,21.77,87.55,Kharif
Sugarcane,93,51,64,6.23,143.35,30.05,70.19,Kharif
Sugarcane,96,47,77,6.01,239.25,24.57,65.54,Zaid
Cotton,74,44,48,6.73,66.33,34.27,51.47,Kharif
Millet,47,45,25,6.04,95.64,20.78,32.83,Kharif
Sugarcane,135,44,62,6.61,226.94,28.9,84.93,Zaid
Cotton,65,39,45,5.72,118.88,29.5,49.46,Kharif
Sugarcane,94,57,40,6.33,232.14,33.41,66.4,Zaid
Cotton,69,52,45,7.13,106.66,33.76,46.52,Kharif
Sugarcane,111,63,54,7.28,130.55,32.66,67.33,Kharif
Cotton,57,36,54,6.74,103.33,34.87,48.94,Kharif
Rice,91,59,57,5.83,191.84,34.24,77.19,Kharif
Millet,60,50,50,5.74,76.99,24.99,42.58,Kharif
Wheat,97,41,48,6.29,86.44,15.34,45.81,Rabi
Rice,116,70,70,6.65,260.11,30.02,79.43,Kharif
Wheat,60,50,58,7.22,77.17,18.46,44.09,Rabi
Wheat,79,35,38,6.09,111.13,18.53,47.7,Rabi
Rice,97,58,45,6.28,184.93,23.96,87.48,Kharif
Maize,105,40,40,6.1,178.34,21.65,56.47,Kharif
Cotton,88,50,38,6.05,90.01,22.77,46.9,Kharif
Maize,70,62,60,6.33,123.19,24.68,61.63,Zaid
Millet,46,37,50,5.53,96.88,24.32,32.5,Kharif
Wheat,84,60,39,6.27,95.49,22.7,46.25,Rabi
Maize,91,38,42,5.88,102.92,28.6,66.49,Kharif
Cotton,65,44,43,6.75,126.31,25.89,58.89,Kharif
Millet,39,39,32,5.23,61.69,27.92,38.25,Kharif
Rice,107,53,75,6.15,243.6,23.12,85.88,Kharif
Millet,68,40,37,5.81,88.5,27.14,43.7,Kharif
Maize,75,58,53,6.56,165.35,23.6,67.3,Kharif
Sugarcane,102,47,77,6.58,194.23,27.2,69.54,Kharif
Wheat,95,52,42,6.48,64.35,21.62,55.99,Rabi
Rice,80,69,75,6.16,288.28,32.89,89.38,Kharif
Wheat,90,38,39,7.17,82.03,14.82,57.63,Rabi
Millet,69,21,37,5.72,43.81,31.76,32.96,Kharif
Sugarcane,138,65,76,6.2,169.95,21.74,65.01,Zaid
Cotton,51,37,38,6.66,135.88,25.0,55.82,Kharif
Sugarcane,112,73,71,6.57,150.35,21.51,62.76,Zaid
Cotton,70,40,40,7.21,134.72,21.96,55.8,Kharif
Rice,86,68,56,6.28,193.45,26.49,79.77,Kharif
Wheat,78,30,45,7.07,95.2,12.78,44.12,Rabi
Rice,116,48,69,6.11,196.03,33.11,84.99,Kharif
Rice,81,70,58,5.88,265.52,21.99,85.31,Kharif
Millet,60,43,42,6.97,96.2,25.95,36.15,Kharif
Sugarcane,139,75,73,6.16,170.3,26.88,75.71,Zaid
Sugarcane,100,58,40,6.03,196.69,31.65,79.7,Kharif
Maize,84,42,64,6.47,128.21,18.54,61.24,Kharif
Sugarcane,96,66,51,7.03,133.18,21.99,63.49,Zaid
Cotton,59,43,43,7.31,99.73,25.1,51.77,Kharif
Cotton,53,25,40,5.82,61.17,29.35,58.85,Kharif
Rice,115,41,61,6.08,218.97,34.7,72.79,Kharif
Maize,78,49,56,6.34,168.51,22.14,57.49,Kharif
Maize,106,43,41,6.03,157.09,20.0,65.98,Zaid
Sugarcane,144,66,64,6.74,245.55,34.56,81.28,Kharif
Sugarcane,105,65,48,7.01,145.44,22.28,66.31,Zaid
Millet,43,24,24,5.71,96.17,30.11,52.72,Kharif
Cotton,50,33,37,6.14,83.13,29.5,56.36,Kharif
Cotton,59,49,52,6.89,95.05,21.41,58.62,Kharif
Maize,80,46,43,6.66,90.07,23.33,60.07,Zaid
Maize,82,59,62,6.97,115.11,28.41,51.86,Kharif
Wheat,88,58,51,6.18,63.52,22.57,41.27,Rabi
Millet,61,38,33,6.24,78.7,24.49,35.21,Kharif
Rice,114,45,76,5.68,223.02,23.73,73.36,Kharif
Rice,120,67,55,5.78,196.5,34.5,86.97,Kharif
Rice,80,61,43,5.6,272.3,29.7,73.42,Kharif
Maize,108,38,35,6.24,92.49,22.86,50.79,Kharif
Wheat,100,33,41,6.82,69.25,17.85,50.18,Rabi
Sugarcane,111,40,43,6.47,215.34,31.08,84.68,Zaid
Maize,110,48,38,6.48,171.98,21.45,53.1,Kharif
Rice,90,41,44,6.68,263.53,34.72,85.5,Kharif
Maize,107,43,37,6.46,105.54,23.23,60.33,Kharif
Millet,36,38,48,6.03,40.08,27.39,54.93,Kharif
Millet,68,24,22,6.21,66.82,26.36,43.6,Kharif
Wheat,72,36,39,6.41,115.62,10.19,54.52,Rabi
Millet,38,47,32,5.58,59.28,20.18,48.25,Kharif
Sugarcane,113,47,54,7.32,237.16,28.35,77.12,Kharif
Wheat,68,46,42,7.34,89.2,14.38,54.85,Rabi
Wheat,95,60,51,6.53,52.93,14.19,45.9,Rabi
Cotton,75,44,34,7.0,92.42,24.3,58.63,Kharif
Rice,111,50,51,5.68,171.74,21.55,82.33,Kharif
Cotton,75,40,45,7.49,92.97,27.35,54.23,Kharif
Rice,115,47,49,5.57,175.36,31.32,83.78,Kharif
Sugarcane,146,74,41,6.16,237.36,23.97,64.27,Zaid
Maize,85,59,38,6.39,91.0,28.95,63.46,Kharif
Wheat,82,45,35,6.0,69.75,18.07,43.57,Rabi
Cotton,67,40,25,7.13,100.58,28.82,40.06,Kharif
Cotton,57,46,26,6.88,103.11,25.22,49.36,Kharif
Wheat,87,44,33,7.3,85.8,19.28,46.05,Rabi
Wheat,68,53,48,6.18,52.53,19.13,46.83,Rabi
Wheat,69,60,59,6.52,103.23,18.76,40.76,Rabi
Sugarcane,146,59,45,6.94,237.55,33.61,63.39,Zaid
Rice,83,54,40,6.03,252.52,23.43,89.96,Kharif
Cotton,56,49,32,7.26,121.97,24.89,48.94,Kharif
Cotton,81,33,26,5.85,68.06,33.33,57.93,Kharif
Millet,38,46,36,6.32,73.8,20.83,44.9,Kharif
Wheat,78,56,34,7.4,71.28,24.1,45.0,Rabi
Rice,95,53,40,6.65,156.04,33.83,73.93,Kharif
Maize,91,46,64,5.88,97.18,18.3,56.72,Kharif
Cotton,87,50,51,7.27,109.42,34.25,40.11,Kharif
Rice,93,64,69,6.0,249.88,22.71,79.16,Kharif
Sugarcane,144,46,55,6.8,163.19,26.56,83.94,Kharif
Millet,49,33,31,6.3,40.73,23.99,39.84,Kharif
Rice,94,59,71,6.37,291.71,33.71,83.29,Kharif
Maize,71,59,56,6.8,162.96,19.89,50.51,Kharif
Sugarcane,124,68,44,7.16,187.26,25.84,74.82,Zaid
Millet,34,33,36,6.67,88.82,20.86,32.18,Kharif
Maize,81,36,35,5.97,119.71,19.23,55.64,Kharif
Cotton,85,50,39,6.51,143.38,25.72,54.32,Kharif
Millet,41,50,43,6.75,41.87,31.67,46.8,Kharif
Millet,57,49,47,6.45,73.79,28.53,40.45,Kharif
Rice,107,48,48,6.69,161.78,32.38,80.95,Kharif
Wheat,96,46,39,7.05,52.39,21.44,40.67,Rabi
Sugarcane,112,56,50,6.89,231.31,25.63,77.74,Zaid
Cotton,54,29,35,6.6,145.24,22.05,40.86,Kharif
Sugarcane,149,66,57,6.6,227.32,21.08,64.91,Zaid
Maize,86,47,40,6.74,172.59,26.6,69.46,Zaid
Rice,100,42,62,6.6,272.74,25.94,81.77,Kharif
Maize,110,50,39,6.17,164.41,20.61,50.3,Kharif
Cotton,51,48,49,5.91,128.69,24.38,54.14,Kharif
Wheat,70,30,44,7.5,110.87,21.4,47.73,Rabi
Rice,101,66,80,5.78,233.68,27.0,81.52,Kharif
Cotton,57,36,35,6.6,136.16,25.48,48.76,Kharif
Wheat,72,33,49,6.02,99.3,16.06,59.35,Rabi
Rice,119,50,64,6.32,151.81,33.28,72.79,Kharif
Cotton,87,50,45,5.99,118.95,21.86,48.73,Kharif
Maize,106,41,45,6.52,105.91,28.04,53.26,Kharif
Cotton,64,45,53,6.84,77.5,23.8,49.39,Kharif
Maize,86,61,57,6.74,85.75,23.74,62.76,Zaid
Sugarcane,103,47,41,6.88,128.59,22.03,76.59,Zaid
Rice,105,66,44,6.69,152.34,29.64,71.47,Kharif
Rice,83,60,75,5.87,242.67,22.06,70.75,Kharif
Millet,60,36,50,5.62,43.51,25.84,36.9,Kharif
Wheat,81,56,49,6.26,77.09,24.47,45.32,Rabi
Maize,72,56,38,6.38,164.35,22.83,66.12,Kharif
Millet,47,34,22,6.15,76.21,28.24,39.84,Kharif
Cotton,80,51,51,6.04,123.27,34.0,53.73,Kharif
Sugarcane,133,75,58,6.84,211.02,34.95,60.84,Zaid
Cotton,64,55,45,5.77,116.02,25.55,49.15,Kharif
Wheat,68,31,31,6.88,116.12,18.62,42.48,Rabi
Cotton,78,54,52,6.95,64.44,30.85,48.24,Kharif
Millet,70,39,50,6.04,90.42,23.05,52.68,Kharif
Maize,77,46,37,6.98,166.2,27.26,55.48,Kharif
Rice,90,61,60,6.55,178.55,33.08,85.15,Kharif
Cotton,68,51,42,5.98,70.71,26.73,49.32,Kharif
Maize,110,53,57,6.3,155.95,28.49,51.95,Zaid
Millet,53,35,48,6.62,76.63,21.33,47.06,Kharif
Maize,99,61,38,6.85,110.22,27.01,67.02,Zaid
Sugarcane,130,47,71,6.89,138.76,22.49,76.48,Zaid
Wheat,83,52,60,7.2,100.78,13.03,53.8,Rabi
Maize,71,48,38,6.28,163.52,22.68,50.23,Kharif
Maize,86,60,57,6.19,102.47,23.57,53.59,Zaid
Millet,65,41,30,5.25,72.28,22.97,32.31,Kharif
Maize,103,43,47,6.75,94.52,29.2,59.76,Kharif
Wheat,94,34,54,7.05,56.15,20.69,59.46,Rabi
Millet,31,49,27,6.27,75.43,27.82,30.65,Kharif
Sugarcane,111,65,50,6.31,155.91,30.68,75.16,Kharif
Maize,106,55,58,6.74,116.1,28.59,50.26,Zaid
Maize,82,61,43,6.03,160.69,21.31,56.61,Kharif
Maize,92,55,52,6.15,92.89,27.03,50.93,Kharif
Maize,73,63,60,6.94,161.94,24.63,67.5,Zaid
Maize,71,44,37,6.65,159.56,27.2,54.11,Zaid
Rice,109,43,74,5.91,203.8,34.48,83.96,Kharif
Sugarcane,120,71,80,7.06,244.3,29.37,64.71,Zaid
Sugarcane,118,45,76,6.99,209.19,20.33,61.35,Kharif
Maize,106,48,41,6.21,125.3,28.83,63.76,Zaid
Cotton,56,34,34,6.15,82.3,31.47,52.04,Kharif
Sugarcane,150,65,78,7.31,192.5,24.97,68.6,Kharif
Millet,49,28,37,6.1,86.41,28.09,37.36,Kharif
Rice,120,42,58,6.22,245.87,23.17,84.9,Kharif
Millet,65,45,26,5.22,86.44,26.97,51.53,Kharif
Sugarcane,118,70,41,6.02,181.78,21.29,70.72,Zaid
Sugarcane,106,42,46,7.25,139.83,29.46,60.36,Zaid
Cotton,56,54,53,6.96,68.49,28.4,45.83,Kharif
Sugarcane,90,73,71,6.19,160.4,23.65,74.3,Zaid
Millet,33,25,20,5.75,48.38,22.53,48.54,Kharif
Sugarcane,112,70,68,6.73,198.97,22.4,79.46,Kharif
Sugarcane,135,52,80,6.17,233.06,28.99,81.24,Zaid
Millet,45,38,50,5.54,72.67,29.66,37.77,Kharif
Cotton,65,31,49,6.65,140.71,32.1,59.25,Kharif
Maize,103,58,63,6.41,103.27,22.73,60.75,Zaid
Maize,84,54,55,6.23,102.03,24.09,51.36,Kharif
Sugarcane,144,44,41,6.75,230.52,23.71,64.38,Kharif
Maize,81,46,52,6.21,154.82,28.89,69.63,Kharif
Wheat,78,43,34,6.48,67.97,10.31,45.46,Rabi
Rice,80,67,60,6.23,249.78,34.06,86.95,Kharif
Wheat,80,53,38,7.43,101.5,20.33,55.1,Rabi
Wheat,89,42,30,7.04,68.32,23.87,43.59,Rabi
Maize,100,58,58,6.81,149.65,19.35,59.89,Kharif
Cotton,58,26,27,6.23,128.57,23.69,46.3,Kharif
Cotton,90,49,34,6.46,77.88,22.97,42.46,Kharif
Sugarcane,110,60,71,7.47,145.81,21.65,74.42,Zaid
Maize,79,60,49,6.57,141.71,27.58,67.52,Zaid
Wheat,80,56,53,6.17,110.67,18.16,40.78,Rabi
Cotton,64,25,35,6.95,103.99,33.04,42.41,Kharif
Cotton,90,27,40,7.14,108.94,30.45,51.21,Kharif
Cotton,71,42,40,6.38,85.27,22.72,46.44,Kharif
Maize,101,44,54,6.94,106.32,26.08,53.56,Kharif
Rice,116,46,69,5.73,152.88,29.78,71.07,Kharif
Maize,100,41,55,6.36,123.0,24.88,51.81,Kharif
Rice,95,69,73,6.23,169.99,20.26,82.61,Kharif
Sugarcane,136,79,45,6.28,198.45,20.85,75.23,Kharif
Wheat,75,33,47,6.43,111.01,18.18,48.42,Rabi
Maize,71,57,44,6.63,115.76,22.62,61.24,Zaid
Cotton,51,26,40,6.13,95.79,30.8,58.31,Kharif
Wheat,96,54,46,7.19,72.09,15.33,40.93,Rabi
Cotton,52,31,32,5.81,128.28,30.32,45.94,Kharif
Rice,104,64,74,5.51,244.18,32.15,81.82,Kharif
Sugarcane,127,44,63,6.93,203.2,34.51,64.47,Zaid
Cotton,63,48,30,6.84,142.44,23.23,59.25,Kharif
Sugarcane,127,76,58,6.92,197.53,26.63,71.9,Zaid
Cotton,66,28,38,7.27,120.09,23.88,46.4,Kharif
Cotton,76,50,48,5.82,129.0,21.82,56.81,Kharif
Cotton,79,54,40,6.22,102.95,29.46,53.37,Kharif
Cotton,69,25,55,5.97,69.4,24.74,50.72,Kharif
Sugarcane,113,79,69,6.99,121.68,22.7,68.55,Kharif
Rice,94,68,80,5.73,299.72,32.36,76.88,Kharif
Sugarcane,104,78,43,6.57,218.17,20.28,63.39,Zaid
Maize,98,38,59,6.83,156.13,20.6,59.68,Zaid
Sugarcane,124,57,64,7.27,126.1,31.73,65.17,Kharif
Maize,106,65,63,6.42,134.48,21.98,53.5,Kharif
Rice,118,44,80,6.34,286.45,30.61,70.91,Kharif
Millet,48,32,22,5.94,98.18,26.57,41.49,Kharif
Sugarcane,128,77,63,7.04,171.8,20.39,71.03,Zaid
Sugarcane,104,45,40,7.48,157.93,26.61,62.58,Zaid
Rice,120,61,80,6.48,179.36,25.52,70.33,Kharif
Rice,94,44,56,5.9,231.57,33.5,85.63,Kharif
Rice,116,55,46,6.16,221.33,30.37,73.92,Kharif
Cotton,75,36,46,6.23,114.02,24.03,52.68,Kharif
Sugarcane,150,52,80,6.78,143.72,20.33,68.87,Kharif
Wheat,63,35,32,7.05,67.67,23.67,50.57,Rabi
Maize,91,65,64,5.94,156.68,22.64,59.4,Kharif
Cotton,70,46,42,7.35,123.19,26.8,51.97,Kharif
Sugarcane,149,67,73,6.51,202.91,32.42,82.22,Kharif
Rice,91,51,59,5.98,240.94,29.7,78.1,Kharif
Cotton,51,48,40,7.5,145.0,21.04,55.91,Kharif
Sugarcane,117,49,62,6.71,150.44,34.84,66.51,Zaid
Cotton,69,33,30,6.12,92.65,35.0,55.56,Kharif
Maize,89,65,54,6.79,102.22,20.34,65.87,Zaid
Sugarcane,148,63,76,7.28,174.66,30.02,61.47,Zaid
Cotton,79,29,40,6.08,138.47,32.86,58.01,Kharif
Cotton,52,51,44,6.06,76.27,21.31,44.47,Kharif
Wheat,100,58,36,6.78,119.34,17.64,42.32,Rabi
Sugarcane,90,51,63,7.04,180.9,21.47,71.72,Zaid
Sugarcane,125,56,54,7.49,216.25,31.64,60.64,Kharif
Cotton,76,41,32,6.12,146.01,26.97,43.73,Kharif
Sugarcane,124,49,62,6.89,166.5,31.44,63.39,Zaid
Wheat,82,52,38,7.26,85.43,16.92,44.77,Rabi
Maize,80,58,58,6.18,104.32,22.11,65.93,Kharif
Sugarcane,120,74,66,6.59,126.05,27.66,63.15,Kharif
Cotton,56,29,54,5.8,132.57,27.45,41.51,Kharif
Rice,96,66,58,5.56,285.41,27.25,75.62,Kharif
Maize,84,53,63,6.63,156.7,20.52,59.79,Kharif
Sugarcane,149,44,61,7.22,220.3,25.2,77.26,Zaid
Rice,99,53,45,6.31,249.7,28.42,87.14,Kharif
Millet,69,49,25,5.56,81.29,27.57,34.3,Kharif
Sugarcane,138,53,65,6.99,245.05,26.33,79.12,Kharif
Maize,91,62,40,6.74,171.71,26.2,54.85,Kharif
Sugarcane,115,58,52,6.15,201.3,26.33,66.65,Zaid
Cotton,84,31,38,6.34,113.06,29.45,45.84,Kharif
Cotton,50,47,37,6.1,112.38,34.25,57.76,Kharif
Maize,100,41,54,6.09,163.85,20.18,62.11,Kharif
Cotton,64,30,43,7.03,60.59,27.68,55.88,Kharif
Wheat,80,48,57,6.97,113.49,18.5,56.0,Rabi
Maize,72,39,54,5.84,117.45,24.79,65.94,Zaid
Rice,102,50,63,6.47,212.85,27.29,86.05,Kharif
Maize,83,64,43,6.46,117.49,20.67,66.78,Zaid
Wheat,64,56,58,6.84,119.67,24.27,45.43,Rabi
Rice,92,55,73,6.25,296.56,34.61,72.53,Kharif
Cotton,61,50,32,6.24,119.27,27.83,44.56,Kharif
Cotton,90,51,54,6.18,77.1,31.07,49.17,Kharif
Wheat,79,43,30,6.24,112.87,16.98,47.33,Rabi
Cotton,51,42,51,6.41,125.0,22.13,52.87,Kharif
Maize,78,46,48,6.49,174.02,26.63,51.25,Zaid
Maize,90,48,49,6.82,113.79,28.71,62.34,Zaid
Rice,104,68,66,5.93,272.89,22.41,79.47,Kharif
Wheat,92,51,38,6.39,78.95,23.17,55.72,Rabi
Maize,89,38,54,6.47,118.53,23.52,53.08,Zaid
Rice,109,50,42,6.18,247.97,22.57,77.43,Kharif
Cotton,57,48,36,7.11,143.45,34.64,57.97,Kharif
Wheat,76,35,46,7.26,51.06,24.31,55.56,Rabi
Rice,93,66,48,5.8,294.34,27.51,77.96,Kharif
Wheat,68,59,48,6.53,71.34,23.0,48.2,Rabi
Maize,92,44,49,6.41,109.8,19.91,66.6,Kharif
Rice,86,70,41,6.28,266.3,26.83,82.6,Kharif
Sugarcane,110,72,59,7.5,170.98,30.85,74.31,Kharif
